isPruned,no_layers,no_nodes,no_epochs,no_batches,pruned_percentile,train_accuracy,test_accuracy
0,4,500-500-500-10,10,300,0.0,0.9671000242233276,0.9642000198364258
1,4,500-500-500-10,10,300,21.0,0.96711665391922,0.9641000032424927
0,4,500-500-500-10,10,300,0.0,0.9665166735649109,0.9650999903678894
1,4,500-500-500-10,10,300,22.0,0.9664999842643738,0.9649999737739563
0,4,500-500-500-10,10,300,0.0,0.9635499715805054,0.9593999981880188
1,4,500-500-500-10,10,300,23.0,0.9634000062942505,0.9595000147819519
0,4,500-500-500-10,10,300,0.0,0.9661166667938232,0.9621000289916992
1,4,500-500-500-10,10,300,24.0,0.9661499857902527,0.9623000025749207
0,4,500-500-500-10,10,300,0.0,0.9656500220298767,0.9616000056266785
1,4,500-500-500-10,10,300,25.0,0.9656166434288025,0.961899995803833
0,4,500-500-500-10,10,300,0.0,0.9660666584968567,0.960099995136261
1,4,500-500-500-10,10,300,26.0,0.9661499857902527,0.9599000215530396
0,4,500-500-500-10,10,300,0.0,0.964733362197876,0.9614999890327454
1,4,500-500-500-10,10,300,27.0,0.9649166464805603,0.9623000025749207
0,4,500-500-500-10,10,300,0.0,0.9681000113487244,0.9634000062942505
1,4,500-500-500-10,10,300,28.0,0.9679333567619324,0.9634000062942505
0,4,500-500-500-10,10,300,0.0,0.9648833274841309,0.9635000228881836
1,4,500-500-500-10,10,300,29.0,0.9648833274841309,0.9629999995231628
0,4,500-500-500-10,10,300,0.0,0.9674333333969116,0.9621999859809875
1,4,500-500-500-10,10,300,30.0,0.9675166606903076,0.9620000123977661
0,4,500-500-500-10,10,300,0.0,0.9659333229064941,0.9617000222206116
1,4,500-500-500-10,10,300,31.0,0.9662333130836487,0.9621000289916992
0,4,500-500-500-10,10,300,0.0,0.9678000211715698,0.9635000228881836
1,4,500-500-500-10,10,300,32.0,0.9678666591644287,0.9635000228881836
0,4,500-500-500-10,10,300,0.0,0.9671666622161865,0.9631999731063843
1,4,500-500-500-10,10,300,33.0,0.9674666523933411,0.9634000062942505
0,4,500-500-500-10,10,300,0.0,0.9631999731063843,0.9588000178337097
1,4,500-500-500-10,10,300,34.0,0.963366687297821,0.9588000178337097
0,4,500-500-500-10,10,300,0.0,0.9669333100318909,0.9620000123977661
1,4,500-500-500-10,10,300,35.0,0.9666666388511658,0.9617000222206116
0,4,500-500-500-10,10,300,0.0,0.9674000144004822,0.9624000191688538
1,4,500-500-500-10,10,300,36.0,0.9672999978065491,0.9628999829292297
0,4,500-500-500-10,10,300,0.0,0.965316653251648,0.9610000252723694
1,4,500-500-500-10,10,300,37.0,0.9651666879653931,0.9616000056266785
0,4,500-500-500-10,10,300,0.0,0.9644666910171509,0.9617999792098999
1,4,500-500-500-10,10,300,38.0,0.9643666744232178,0.9617999792098999
0,4,500-500-500-10,10,300,0.0,0.9657166600227356,0.9617999792098999
1,4,500-500-500-10,10,300,39.0,0.9652000069618225,0.9611999988555908
0,4,500-500-500-10,10,300,0.0,0.9675333499908447,0.9641000032424927
1,4,500-500-500-10,10,300,40.0,0.9678333401679993,0.9642999768257141
0,4,500-500-500-10,10,300,0.0,0.9659500122070312,0.9632999897003174
1,4,500-500-500-10,10,300,41.0,0.9654499888420105,0.9632999897003174
0,4,500-500-500-10,10,300,0.0,0.967033326625824,0.963699996471405
1,4,500-500-500-10,10,300,42.0,0.967033326625824,0.9625999927520752
0,4,500-500-500-10,10,300,0.0,0.9673166871070862,0.9613000154495239
1,4,500-500-500-10,10,300,43.0,0.9680333137512207,0.9629999995231628
0,4,500-500-500-10,10,300,0.0,0.9666666388511658,0.9613000154495239
1,4,500-500-500-10,10,300,44.0,0.9662500023841858,0.9614999890327454
0,4,500-500-500-10,10,300,0.0,0.9620333313941956,0.9595000147819519
1,4,500-500-500-10,10,300,45.0,0.9619333148002625,0.9595999717712402
0,4,500-500-500-10,10,300,0.0,0.9674999713897705,0.9638000130653381
1,4,500-500-500-10,10,300,46.0,0.9656999707221985,0.9617000222206116
0,4,500-500-500-10,10,300,0.0,0.968999981880188,0.9642999768257141
1,4,500-500-500-10,10,300,47.0,0.9692666530609131,0.9642999768257141
